1225	735.9	738.8	0	0.1
1250	710.8	713.8	0	0.1
1275	686	688.7	0.05	0.1
1300	660.9	663.8	0	0.1
1325	635.9	638.6	0.1	0.2
1350	610.9	613.6	0.1	0.2
1375	585.9	588.7	0.1	0.25
1400	561	563.7	0.15	0.25
1425	536	538.8	0.2	0.3
1450	511.1	513.8	0.25	0.35
1475	486.1	488.9	0.3	0.4
1500	461.2	464	0.35	0.45
1510	451.3	454	0.35	0.5
1520	441.3	444	0.4	0.5
1525	436.3	439.1	0.4	0.55
1530	431.3	434.1	0.45	0.55
1540	421.4	424.1	0.45	0.6
1550	411.4	414.2	0.5	0.6
1555	406.4	409.2	0.5	0.65
1560	401.4	404.2	0.55	0.65
1565	396.5	399.2	0.55	0.7
1570	391.2	394	0.6	0.7
1575	386.5	389.3	0.6	0.75
1580	381.5	384.3	0.6	0.75
1585	376.6	379.3	0.65	0.75
1590	371.3	374.1	0.65	0.8
1595	366.6	369.4	0.7	0.8
1600	361.6	364.4	0.7	0.85
1605	356.7	359.4	0.75	0.85
1610	351.7	354.5	0.75	0.9
1615	346.7	349.5	0.8	0.9
1620	341.8	344.5	0.8	0.95
1625	336.8	339.5	0.85	0.95
1630	331.8	334.6	0.9	1
1635	326.9	329.6	0.9	1.05
1640	321.9	324.7	0.95	1.05
1645	316.9	319.7	0.95	1.1
1650	312	314.7	1	1.15
1655	307	309.8	1.05	1.15
1660	302.1	304.8	1.1	1.2
1665	297.1	299.9	1.15	1.25
1670	292.2	294.9	1.15	1.3
1675	287.2	289.9	1.2	1.35
1680	282.3	285	1.25	1.4
1685	277.3	280.1	1.3	1.45
1690	272.4	275.1	1.35	1.5
1695	267.4	270.2	1.4	1.55
1700	262.5	265.2	1.45	1.6
1705	257.5	260.3	1.5	1.7
1710	252.6	255.3	1.6	1.75
1715	247.7	250.4	1.65	1.8
1720	242.7	245.5	1.7	1.9
1725	237.8	240.6	1.75	1.95
1730	232.9	235.6	1.85	2
1735	228	230.7	1.9	2.1
1740	223.4	225.3	2	2.2
1745	218.5	220.4	2.1	2.25
1750	213.6	215.5	2.2	2.35
1755	208.7	210.6	2.3	2.45
1760	203.8	205.7	2.4	2.55
1765	198.9	200.8	2.5	2.65
1770	194	195.9	2.65	2.8
1775	189.2	191.1	2.75	2.9
1780	184.3	185.8	2.9	3.1
1785	179.4	180.9	3	3.2
1790	174.6	176.1	3.1	3.4
1795	169.7	171.2	3.3	3.6
1800	164.9	166.4	3.5	3.7
1805	160.1	161.6	3.7	3.9
1810	155.3	156.7	3.8	4.1
1815	150.5	152	4.1	4.3
1820	145.7	147.2	4.3	4.5
1825	140.9	142.4	4.5	4.8
1830	136.2	137.7	4.8	5
1835	131.5	132.9	5	5.3
1840	126.8	128.2	5.3	5.6
1845	122.1	123.5	5.6	5.9
1850	117.4	118.8	5.9	6.2
1855	112.8	114.2	6.3	6.6
1860	108.2	109.6	6.6	6.9
1865	103.6	105	7	7.3
1870	99	100.4	7.5	7.8
1875	94.5	95.9	8	8.3
1880	90	91.4	8.4	8.8
1885	85.5	86.9	9	9.4
1890	81.1	82.5	9.5	10
1895	76.8	78.1	10.2	10.6
1900	72.4	73.7	10.9	11.3
1905	68.2	69.4	11.6	12
1910	64	65.2	12.4	12.8
1915	59.8	61.1	13.2	13.7
1920	55.7	57	14.2	14.6
1925	51.7	53	15.2	15.6
1930	47.8	49.1	16.2	16.6
1935	44.6	45.1	17.4	17.8
1940	40.8	41.3	18.6	19
1945	37.2	37.7	20	20.4
1950	33.7	34.4	21.4	21.8
1955	30.3	30.9	23	23.4
1960	27	27.6	24.7	25.1
1965	23.8	24.5	26.5	27.3
1970	20.8	21.4	28.5	29.4
1975	18	18.6	30.5	31.6
1980	15.5	15.9	33	34
1985	13.1	13.5	35.5	36.6
1990	10.9	11.3	38.4	39.5
1995	9	9.3	41.3	42.5
2000	7.2	7.6	44.5	45.8
2005	5.7	6	48.1	49.3
2010	4.5	4.8	51.7	53
2015	3.4	3.7	55.8	57
2020	2.6	2.8	59.9	61.7
2025	1.95	2.15	64.1	66.1
2030	1.45	1.65	68.6	70.6
2035	1.05	1.25	73.3	75.2
2040	0.8	0.95	78	80
2045	0.6	0.75	82	84.8
2050	0.5	0.65	86.9	89.6
2060	0.3	0.4	96.6	99.4
2070	0.2	0.3	106.7	109.5
2075	0.15	0.25	111.7	114.5
2100	0.1	0.2	136.3	139.1
2125	0.05	0.15	161.5	164.3
2150	0.05	0.15	186.3	189
2175	0	0.1	211.3	214
2200	0.05	0.1	236.3	239
2225	0	0.1	261.3	264
2250	0	0.1	286.3	289
